words,sentence #,tag
EX-WORKSTREVIOLO,36,Incoterms
BERGAMO,36,Incoterms
ITALY,36,Incoterms
100,37,Quantity
00,37,Quantity
Bottles,37,Quantity
(,37,O
+/-,37,Tolerance
05/05,37,Tolerance
%),37,O
of,37,O
First,37,GoodsDescription
Class,37,GoodsDescription
Technical,37,GoodsDescription
Machinery,37,GoodsDescription
Soda,37,GoodsDescription
packed,37,O
in,37,GoodsDescription
blue,37,O
crates,37,O
labelled,37,O
'Test,37,O
Machine,37,GoodsDescription
London',37,O
Unit,37,O
Price,37,O
Usd,37,UnitPriceAmount
5,37,UnitPriceAmount
0,37,Quantity
DELIVERY,37,O
TERMS;,37,O
CIF,37,Incoterms
TORONTO,37,Incoterms
Origin,37,O
of,37,O
the,37,O
goods,37,O
Germany,37,GoodsOrigin
ARI-FABA,38,O
BELLOW,38,GoodsDescription
SEALED,38,GoodsDescription
VALVES,38,GoodsDescription
FOR,38,O
OLEOHYDRAULIC,38,O
OR,38,Incoterms
PNEUMATIC,38,O
TRANSMISSION,38,O
TYPE,38,O
1N046,38,O
BODY,38,O
MATERIAL,38,O
CAST,38,O
IRON,38,O
GG-25,38,O
STEAM,38,O
SEALING,38,O
STAINLESS,38,O
STEEL,38,O
N4571,38,O
BELOW,38,O
END,38,O
CONNECTIONS,38,O
FLANGED,38,O
TO,38,O
PN,38,O
16,38,O
DN,38,O
50,38,O
QTY,38,O
200,38,Quantity
NOS,38,Quantity
AT,38,O
EUR7N29/NO,38,UnitPriceAmount
DN,38,O
80,38,O
QTY,38,O
100,38,Quantity
NOS,38,Quantity
AT,38,O
EUR13N62/NO,38,UnitPriceAmount
DN,38,O
100,38,Quantity
QTY,38,O
100,38,Quantity
NOS,38,Quantity
AT,38,O
EUR17N41/NN,38,UnitPriceAmount
CFR,38,Incoterms
CHITTAGONG,38,Incoterms
SEA,38,Incoterms
PORT,38,Incoterms
ANGLADESH,38,Incoterms
ANGLADESHINCOTERMS,38,O
201,38,O
DESCRIPTION,38,O
UALITY,38,O
QUANTITY,38,O
SPECIFICATION,38,O
PRICE,38,O
OF,38,O
THE,38,O
GOODS,38,O
TO,38,O
BE,38,GoodsDescription
AS,38,O
PER,38,O
PROFORMA,38,O
INVOICE,38,O
NN,38,UnitPriceAmount
NPFM,38,O
1345,38,O
DATED,38,O
3N0N2018,38,O
OF,38,O
THE,38,O
BENEFICIARN,38,O
3358,39,Quantity
PCS,39,Quantity
OF,39,O
WEARING,39,GoodsDescription
APPARELS,39,GoodsDescription
AS,39,Incoterms
PER,39,O
ORDER,39,O
REF,39,O
NF,39,O
HKG08/FW17,39,O
DATED,39,O
20,39,Incoterms
APR,39,O
2017,39,O
CPT,39,Incoterms
INCOTERMS,39,Incoterms
2010,39,Incoterms
OM,39,Incoterms
LOG,39,Incoterms
ASIA,39,Incoterms
LTD,39,Incoterms
WAREHOUSE,39,Incoterms
HONG,39,Incoterms
KONG,39,Incoterms
FOB,39,Incoterms
INCOTERMS,39,Incoterms
2010,39,Incoterms
SHANGHAI,39,Incoterms
PORT,39,Incoterms
CPT,39,Incoterms
INCOTERMS,39,Incoterms
2010,39,Incoterms
HONG,39,Incoterms
KONG,39,Incoterms
AIRPORT,39,Incoterms
FCA,39,Incoterms
INCOTERMS,39,Incoterms
2010,39,Incoterms
SHANGHAI,39,Incoterms
AIRPORF,39,Incoterms
SHIPMENT,39,O
PERIOD,39,O
A,39,GoodsDescription
FOLLOW,39,O
WITHIN,39,O
05/06/17,39,O
HONG,39,Incoterms
KONG,39,Incoterms
ORDER,39,O
NF,39,O
515,39,O
517,39,O
514,39,O
518,39,O
WITHIN,39,O
08/06/17,39,O
HONG,39,Incoterms
KONG,39,Incoterms
ORDER,39,O
NF,39,O
508,39,O
510,39,O
505,39,O
506,39,O
WITHIN,39,O
01/07/17,39,O
HONG,39,Incoterms
KONG,39,Incoterms
ORDER,39,O
NF,39,O
794,39,O
WITHIN,39,O
05/07/17,39,O
HONG,39,Incoterms
KONG,39,Incoterms
ORDER,39,O
NF,39,O
787,39,O
788,39,O
790,39,O
792,39,O
WITHIN,39,O
17/07/17,39,O
HONG,39,Incoterms
KONG,39,Incoterms
ORDER,39,O
NF,39,O
796,39,O
